IDDIST;mp_m;mp_c
150107;(-11.975155607859564, -76.76880234503638);(-11.976829176426843, -76.76555447757319)
150132;(-12.02912535360219, -77.01045081805049);(-11.992291271546172, -77.00676462466609)
150118;(-11.929999482424769, -76.69749857580807);(-11.93880549034131, -76.69666488627522)
150109;(-12.120030974901727, -76.81436867958749);(-12.115751898736196, -76.81286044156157)
150114;(-12.078578466278246, -76.91736628180911);(-12.072225224799741, -76.95518284820596)
150127;(-12.365034107295136, -76.79552733786552);(-12.36409865908728, -76.79563253198393)
150103;(-12.027392914093623, -76.92196643280451);(-12.074924778499296, -76.98879955754045)
150126;(-12.335587226742762, -76.82547921264107);(-12.336965504052213, -76.82446616972686)
150119;(-12.2738411979565, -76.86977879502152);(-12.273489665506963, -76.86919653781726)
150123;(-12.22927929200375, -76.85938209701256);(-12.226923917163806, -76.85856834710913)
150137;(-12.043009872572002, -76.97126091861357);(-12.044714450480843, -76.97670788538083)
150110;(-11.957032394236675, -77.04933174688713);(-11.955273372904037, -77.05252190986326)
150143;(-12.162129820285488, -76.94368953676145);(-12.165864001384012, -76.94782825596869)
150142;(-12.213104797462103, -76.93717081964218);(-12.213334423084195, -76.93731098714566)
150140;(-12.145070558931893, -77.00511082389004);(-12.145242794006519, -77.0029970372061)
150108;(-12.169132716864008, -77.02429362553855);(-12.170158190621336, -77.02332055787787)
150130;(-12.107359148088776, -76.99913779274486);(-12.105578732793303, -76.99895079661687)
150133;(-12.162980715610768, -76.96350562969128);(-12.157716580165625, -76.97518441434819)
150128;(-12.04192753229875, -77.02694102916875);(-12.039622139536846, -77.0279732024185)
70106;(-11.87686530379444, -77.12785801140369);(-11.872767898477575, -77.12612961805216)
150122;(-12.121773820988563, -77.02913847073675);(-12.114453173141392, -77.02807971619914)
150104;(-12.149318243520488, -77.02181123232256);(-12.146246495320133, -77.02267397873678)
150131;(-12.097670589315443, -77.02736379168293);(-12.09486009492067, -77.0323434999044)
150111;(-12.048186985734711, -77.0004926574452);(-12.049234790003538, -76.99739465074633)
150102;(-11.773731218737993, -77.1763478748161);(-11.775868886552294, -77.169390497673)
150120;(-12.09160309766228, -77.06708722058895);(-12.087837046738894, -77.07331808087173)
150101;(-12.045219427873256, -77.0311782097649);(-12.041091841641753, -77.0391939397123)
70102;(-12.062355612235086, -77.12930570270714);(-12.061021139876729, -77.12537478259918)
150141;(-12.118307327124153, -77.02163488736336);(-12.118603991419485, -77.02243783339291)
150106;(-11.889829907743344, -77.02713731620143);(-11.871196939483891, -77.0153275252842)
150134;(-12.075410165576017, -76.9935921910649);(-12.072653816172588, -76.99909212525675)
150115;(-12.064646276552587, -77.03094180270705);(-12.063102529880272, -77.02528828440511)
150117;(-11.991490797261417, -77.07069910085727);(-11.99644532759308, -77.06291040043544)
150116;(-12.083017066238686, -77.03175311619951);(-12.08317698655641, -77.02722877572162)
150113;(-12.076425920489404, -77.043886058528);(-12.070961341772643, -77.04754957387121)
150112;(-11.996847005781897, -77.05457553437964);(-12.012037084747691, -77.04937921678577)
70105;(-12.072604177449803, -77.16353746222912);(-12.068102581857811, -77.15789371805013)
150135;(-12.03020345461129, -77.05717007387156);(-12.025432930300763, -77.05594301805064)
150105;(-12.058539394187578, -77.04600501805022);(-12.066759752766528, -77.05281879060034)
150121;(-12.077803459908246, -77.0624257315427);(-12.076665741284277, -77.06526591434903)
150125;(-11.86647340374905, -77.07710231805214);(-11.865954901035805, -77.07768026038053)
150136;(-12.092094838913049, -77.07908830270685);(-12.089334582749204, -77.08790810455741)
70101;(-12.06343307238636, -77.14720775852811);(-12.054664344764475, -77.12880530356739)
70103;(-12.03947039166983, -77.09009078921467);(-12.03893334907228, -77.08720877750585)
70104;(-12.065408754902869, -77.10817596037863);(-12.070026458515317, -77.126075302707)
70107;(-11.854788091597356, -77.12489784503754);(-11.8541408909806, -77.12337669106698)
